Td			ID			Tj			Df			Dd			Db

7           3           2           2           3           5
12           5           2           3           7          10
12        4000          11           0           1           1
21        4001          21           0           0           0
23        4002          22           0           1           1
25        4003          25           0           0           0
25           9          20           0           5           5
26          11          23           0           3           3
26           8          20           0           6           6
30        4008          26           1           3           4
30        4004          26           0           4           4
32        4005          26           0           6           6
33        4006          26           1           6           7
33        4007          26           1           6           7
37        4009          35           0           2           2
38        2004           4          16          18          34
40        2000           4           0          36          36
40        4010          36           0           4           4
40        4011          36           0           4           4
41          16          30           0          11          11
41          24          31           0          10          10
42          23          31           0          11          11
45          25          31           2          12          14
48        4012          45           0           3           3
51        2002           4           0          47          47
61        2005           8          13          40          53
61        4014          55           1           5           6
62        4016          55           2           5           7
64        4015          55           1           8           9
64        4013          55           0           9           9
65        4017          58           2           5           7
65        4018          58           3           4           7
69        2065          59           0          10          10
69          42          52           0          17          17
72        4019          64           2           6           8
72        4020          68           0           4           4
73        4021          68           1           4           5
75        2064          54           0          21          21
77        2050          36           0          41          41
77          49          53           0          24          24
77          48          53           0          24          24
77          55          61           0          16          16
77          65          67           0          10          10
78        4022          76           0           2           2
79        2009           8          16          55          71
80          74          72           0           8           8
88          37          49           1          38          39
94          34          45           1          48          49
95          50          53           2          40          42
98        4023          97           0           1           1
100        4024          97           0           3           3
101          32          45           1          55          56
102        2015          17           3          82          85
103        4025          99           1           3           4
105        4026         103           1           1           2
106        4027         103           1           2           3
107        4028         105           1           1           2
107          84         101           0           6           6
108          81         101           0           7           7
110        4030         109           0           1           1
111        4029         109           0           2           2
115          45          52           1          62          63
116        4031         114           0           2           2
118        4032         116           0           2           2
124        2006           8          17          99         116
125          46          53           1          71          72
127          80          87           3          37          40
129         110         121           0           8           8
129         104         119           0          10          10
143        2095         102           0          41          41
146        2068          59           0          87          87
149        2001           4          16         129         145
149        4033         143           0           6           6
151        4036         145           2           4           6
152        4034         144           0           8           8
152        4037         146           2           4           6
153        4035         145           1           7           8
154        4038         148           1           5           6
155        2010          12          11         132         143
156        4039         150           1           5           6
157        2029          22           0         135         135
157        4040         153           1           3           4
157         116         140           0          17          17
159         123         149           0          10          10
159         124         149           0          10          10
160        2081          84          17          59          76
160          76          87           3          70          73
161        2007           8          13         140         153
161          93         111           3          47          50
161          92         111           3          47          50
162        2012          12           8         142         150
166        2017          17           3         146         149
166        4041         165           0           1           1
166          91         111           3          52          55
169        2049          35           0         134         134
172        2018          17           5         150         155
177        2019          17           9         151         160
179        2059          52           1         126         127
180        4042         178           0           2           2
183        2008           8          13         162         175
191         109         121           5          65          70
195        2034          23           1         171         172
196        2044          30           5         161         166
196        2013          12          10         174         184
198        2097         102           0          96          96
200        4043         196           0           4           4
203        4045         197           0           6           6
204         140         175           1          28          29
205        4044         196           1           8           9
208        4048         201           2           5           7
208        4046         197           1          10          11
209        4050         202           3           4           7
210        4047         201           1           8           9
211        2014          12          18         181         199
211        4049         202           2           7           9
211         145         185           1          25          26
211         144         185           1          25          26
216        2089          95           6         115         121
218        2222         210           0           8           8
219        4051         218           0           1           1
221        2108         108           1         112         113
227         192         227           0           0           0
228        2122         119           3         106         109
228        2085          95           6         127         133
229        2003           4           0         225         225
229        2104         106          13         110         123
230        2016          17           3         210         213
232        2091          96           5         131         136
232        2183         166          13          53          66
233        4052         230           0           3           3
235        4053         231           0           4           4
237        2124         119          12         106         118
240        2011          12           8         220         228
240        2135         129          14          97         111
242        2129         123          22          97         119
246        2087          95          47         104         151
247        2083          84          17         146         163
249        4054         244           0           5           5
250        2184         166          12          72          84
250        4055         244           1           5           6
254        4057         248           1           5           6
255        4056         248           0           7           7
255        4059         249           2           4           6
256        4058         249           1           6           7
257        2094          96          13         148         161
258        2136         129          40          89         129
261        2128         123          31         107         138
261        4060         259           0           2           2
263        2099         102           1         160         161
265        2137         129          18         118         136
269        2090          96          12         161         173
272        4061         269           0           3           3
275        2270         267           0           8           8
276        2256         255           1          20          21
276        4063         270           1           5           6
278        4062         270           1           7           8
280        2138         129          29         122         151
280         158         212           1          67          68
281        4064         271           1           9          10
283        4066         272           2           9          11
284        2265         265           0          19          19
284        4065         272           2          10          12
286        2259         255           0          31          31
286        2127         123           3         160         163
286        4067         280           2           4           6
287        2203         204          22          61          83
288        2107         108          11         169         180
291        2092          96           6         189         195
296        2123         119           0         177         177
301        2193         192           9         100         109
302        4068         300           0           2           2
304        4069         300           1           3           4
305        2300         296           0           9           9
309        2213         206           0         103         103
310        4070         309           0           1           1
311        2289         288           0          23          23
313        4071         311           0           2           2
314        2253         251           0          63          63
315        2174         163          13         139         152
315        2255         255          33          27          60
321        2197         198           0         123         123
321        4073         318           0           3           3
324        4072         318           0           6           6
328        2084          84          20         224         244
328         202         233           6          89          95
330        2088          95          10         225         235
334        2098         102           3         229         232
334        4075         332           1           1           2
335        4074         332           0           3           3
336        2199         198           6         132         138
337        2208         205           2         130         132
338        2335         329           0           9           9
338        4076         335           0           3           3
339        2082          84          91         164         255
340        4078         339           0           1           1
342        2109         108          17         217         234
343        4077         339           0           4           4
348        2238         239           6         103         109
352        2105         108          17         227         244
352        2106         108           0         244         244
353        2093          96           9         248         257
355         157         212           1         142         143
355        4079         349           0           6           6
356        2198         198          23         135         158
358        2214         206           5         147         152
359        2355         347           0          12          12
360        2086          95          28         237         265
360        4082         353           2           5           7
360        4080         351           1           8           9
363        4081         353           1           9          10
365        4083         361           1           3           4
367        4084         365           0           2           2
368         229         280           7          81          88
368         199         229           7         132         139
370        2350         345           0          25          25
371         315         371           0           0           0
372        4086         367           1           4           5
373        2326         323          14          36          50
374        4085         365           1           8           9
376        2021          21           0         355         355
378        2207         205           7         166         173
378        2139         129          57         192         249
378        4087         367           1          10          11
379        2204         204          21         154         175
381        4088         379           0           2           2
382        2267         265           7         110         117
384        4090         381           1           2           3
385        4089         381           1           3           4
386         198         229           7         150         157
386        2231         238          10         138         148
390        2329         323           0          67          67
392        2380         382           0          10          10
392        4094         387           1           4           5
392        4091         386           0           6           6
393        2325         323          48          22          70
393        4092         386           0           7           7
396        2345         343           0          53          53
396        4093         387           1           8           9
398        2262         263          28         107         135
398        4096         391           3           4           7
398        4095         391           2           5           7
399        2212         206          11         182         193
401        2260         263          15         123         138
402        4097         398           1           3           4
404         219         274           8         122         130
405        2234         238          10         157         167
406        4099         402           1           3           4
407        2273         267           0         140         140
409        2194         192           9         208         217
409        4098         402           1           6           7
413        2304         296           8         109         117
413        4100         403           1           9          10
414        2247         245          38         131         169
415        4102         409           3           3           6
415        4101         409           2           4           6
416        4103         410           3           3           6
418        4105         416           1           1           2
420        2264         263           2         155         157
420        4104         416           1           3           4
421        2239         239          17         165         182
421        2237         239           3         179         182
421        4106         417           0           4           4
422        2209         205           3         214         217
422        2278         278          12         132         144
426        2274         267          20         139         159
426        4107         424           0           2           2
427        2275         278          26         123         149
429        2263         263           4         162         166
429        2233         238          16         175         191
432        4109         427           1           4           5
435        2359         347           8          80          88
436        2232         238          11         187         198
436        2357         347          16          73          89
436        2248         245           5         186         191
436        4108         427           0           9           9
437        4110         428           2           7           9
439        2249         245          16         178         194
440        2315         314           0         126         126
440        4111         432           2           6           8
441        2272         267          15         159         174
443        2369         357           5          81          86
443        2279         278          38         127         165
444        2269         265           1         178         179
445        2337         329          20          96         116
446        2319         314          25         107         132
446        4112         444           0           2           2
452        2318         314           2         136         138
452        2339         329          14         109         123
452        4113         448           0           4           4
455        2358         347          10          98         108
455        2268         265          42         148         190
455         248         305           6         144         150
455         215         254           6         195         201
456         205         233           6         217         223
458        2354         345          43          70         113
460        2352         345          28          87         115
461        2378         373          10          78          88
462        2376         373          14          75          89
462        2384         382           2          78          80
468        4114         457           0          11          11
468        4115         459           0           9           9
470        4116         459           1          10          11
471        2414         421           0          50          50
472         267         318           9         145         154
472        2349         343           4         125         129
472        2348         343          10         119         129
472        4117         459           2          11          13
473        2341         333          44          96         140
475        2404         407          20          48          68
478        2316         314          36         128         164
478        2334         327          15         136         151
479        2365         357           7         115         122
488        2366         357           9         122         131
488        4118         486           0           2           2
489        2276         278          18         193         211
490        2342         333          55         102         157
491         269         318           9         164         173
494        2353         345          51          98         149
499        2367         357           7         135         142
499        2409         414           4          81          85
500        2552         492           0           8           8
502         278         336          11         155         166
503        2408         414           1          88          89
512        2042          30           4         478         482
513        2567         501           0          12          12
514        2570         506           0           8           8
519        2338         329           2         188         190
521        4119         516           0           5           5
522        2400         407           0         115         115
523        4121         518           1           4           5
523        4120         518           0           5           5
532        2379         373          54         105         159
536        2377         373          17         146         163
539        2387         383          17         139         156
539        2261         263          26         250         276
541        2399         400          23         118         141
541        4123         537           1           3           4
542        2446         460           0          82          82
542        2599         526           0          16          16
544        2344         333           0         211         211
544        2591         524           0          20          20
544        4122         537           0           7           7
545        2368         357          39         149         188
547         481         547           0           0           0
549        2411         421          29          99         128
550        2383         382           1         167         168
550        2413         421           3         126         129
555        2389         383          22         150         172
556        2590         524          21          11          32
557        2406         414           6         137         143
557        2594         524           0          33          33
561        4124         558           0           3           3
564        4126         560           1           3           4
565        2277         278          37         250         287
565        4125         560           0           5           5
576        2620         568           0           8           8
576        2418         423           5         148         153
