Td			ID			Ta			Tj			Df			Dd			Db

14        2001          10           2           8           4          12
17        2000          10           2           8           7          15
27        2013          21          21           0           6           6
30        2020          26          26           0           4           4
32        4000          32          32           0           0           0
33        4002          32          32           0           1           1
33        4003          32          32           0           1           1
33        4004          32          32           0           1           1
33        4001          32          32           0           1           1
37        2032          31          31           0           6           6
38        2031          31          31           0           7           7
38        2025          29          29           0           9           9
43        4005          43          43           0           0           0
44        4008          43          43           0           1           1
44        4009          43          43           0           1           1
44        4006          43          43           0           1           1
45        4007          43          43           0           2           2
45        4010          44          44           0           1           1
45        4012          44          44           0           1           1
45        4013          44          44           0           1           1
45        4014          44          44           0           1           1
46        4011          44          44           0           2           2
47        4015          46          46           0           1           1
47        4016          46          46           0           1           1
48        4019          46          46           0           2           2
48        4017          46          46           0           2           2
49        2035          42          42           0           7           7
49        4018          46          46           0           3           3
52        2041          44          44           0           8           8
52        4020          52          52           0           0           0
53        4022          52          52           0           1           1
53        4023          52          52           0           1           1
53        4024          52          52           0           1           1
53        4021          52          52           0           1           1
54        4025          53          53           0           1           1
54        4026          53          53           0           1           1
54        4027          53          53           0           1           1
55        4028          53          53           0           2           2
55        4029          53          53           0           2           2
59        2045          51          51           0           8           8
60        2051          53          53           0           7           7
64        4034          63          63           0           1           1
65        4030          63          63           0           2           2
65        4031          63          63           0           2           2
65        4032          63          63           0           2           2
65        4033          63          63           0           2           2
65        4036          64          64           0           1           1
66        4038          64          64           0           2           2
66        4035          64          64           0           2           2
66        4037          64          64           0           2           2
67        4039          65          64           1           2           3
67        4040          67          67           0           0           0
68        4041          67          67           0           1           1
68        4042          67          67           0           1           1
68        4043          67          67           0           1           1
68        4044          67          67           0           1           1
68        4045          68          68           0           0           0
68        4047          68          68           0           0           0
69        4048          68          68           0           1           1
69        4049          68          68           0           1           1
69        4046          68          68           0           1           1
71        2060          66          66           0           5           5
74        2066          68          68           0           6           6
77        4050          76          76           0           1           1
78        4052          76          76           0           2           2
78        4053          76          76           0           2           2
78        4054          76          76           0           2           2
78        4051          76          76           0           2           2
78        4055          77          77           0           1           1
78        4057          77          77           0           1           1
78        4058          77          77           0           1           1
78        4059          78          77           1           0           1
78        4056          77          77           0           1           1
79        4060          79          79           0           0           0
80        4064          79          79           0           1           1
80        4061          79          79           0           1           1
80        4062          79          79           0           1           1
81        4063          79          79           0           2           2
82        2070          75          75           0           7           7
84          47          84          84           0           0           0
85        2076          77          77           0           8           8
87        2081          79          79           0           8           8
96        2088          90          90           0           6           6
99        2095          95          95           0           4           4
99          67          95          95           0           4           4
106        2107         101         101           0           5           5
106        2100          98          98           0           8           8
108        2106         101         101           0           7           7
125        2112         117         117           0           8           8
127        2118         120         120           0           7           7
130        2120         126         126           0           4           4
131          90         126         126           0           5           5
134        2129         129         129           0           5           5
134         105         131         131           0           3           3
136        2133         131         131           0           5           5
137          89         126         126           0          11          11
140        2007          15           3          12         125         137
142        2004          12           2          10         130         140
142        2136         137         137           0           5           5
151        2019          26          23           3         125         128
155        2006          14           3          11         141         152
155        2009          16           3          13         139         152
158        2142         150         150           0           8           8
160        2148         153         153           0           7           7
163        2150         159         159           0           4           4
164         125         159         159           0           5           5
167        2159         162         162           0           5           5
169        2163         164         164           0           5           5
183        2003          11           2           9         172         181
183        2005          13           3          10         170         180
187         124         159         159           0          28          28
188        2010          22          21           1         166         167
189        2165         184         184           0           5           5
192        2174         187         187           0           5           5
194        2017          25          23           2         169         171
194        2178         189         189           0           5           5
199        2023          35          26           9         164         173
201        2187         194         194           0           7           7
201        2186         194         194           0           7           7
203         167         203         203           0           0           0
204        2196         198         198           0           6           6
211         163         199         199           0          12          12
215        2202         207         207           0           8           8
217        2015          25          23           2         192         194
217        2208         210         210           0           7           7
220        2210         216         216           0           4           4
221         180         216         216           0           5           5
224        2219         219         219           0           5           5
224         195         221         221           0           3           3
226        2223         221         221           0           5           5
227         179         216         216           0          11          11
232        2226         227         227           0           5           5
237        2002          10           2           8         227         235
248        2232         240         240           0           8           8
249        2238         243         243           0           6           6
253        2038          57          42          15         196         211
253        2022          35          26           9         218         227
253        2240         249         249           0           4           4
254        2024          35          26           9         219         228
256         227         256         256           0           0           0
257        2249         252         252           0           5           5
260         223         253         253           0           7           7
262        2250         254         254           0           8           8
264        2255         258         258           0           6           6
265          96         130         130           0         135         135
265         221         253         253           0          12          12
265         106         138         138           0         127         127
265         161         199         199           0          66          66
265         210         240         240           0          25          25
265         151         188         188           0          77          77
265         131         163         163           0         102         102
265         196         228         228           0          37          37
265         186         220         220           0          45          45
265         175         207         207           0          58          58
265         120         150         150           0         115         115
265          85         117         117           0         148         148
265          71         103         103           0         162         162
265          52          89          89           0         176         176
265           7          20          20           0         245         245
265          22          26          26           0         239         239
265         160         189         189           0          76          76
265         140         164         164           0         101         101
265           6          26          20           6         239         245
265          30          35          35           0         230         230
265          28          35          35           0         230         230
265          35          57          57           0         208         208
265          40          66          66           0         199         199
265          36          66          66           0         199         199
265          37          66          66           0         199         199
265          39          66          66           0         199         199
265          41          71          71           0         194         194
265           5          10          10           0         255         255
265          51          95          89           6         170         176
265          73         103         103           0         162         162
265          80         105         105           0         160         160
265          78         105         105           0         160         160
265          86         126         126           0         139         139
265          92         127         127           0         138         138
265          87         126         126           0         139         139
265          98         130         130           0         135         135
265         102         131         131           0         134         134
265         108         138         138           0         127         127
265         115         140         140           0         125         125
265         113         140         140           0         125         125
265         121         159         159           0         106         106
265         127         160         160           0         105         105
265         122         159         159           0         106         106
265         133         163         163           0         102         102
265         137         164         164           0         101         101
265         147         187         185           2          78          80
265         153         188         188           0          77          77
265         157         189         189           0          76          76
265         176         216         216           0          49          49
265         182         217         217           0          48          48
265         177         216         216           0          49          49
265         188         220         220           0          45          45
265         192         221         221           0          44          44
265         198         228         228           0          37          37
265         205         230         230           0          35          35
265         203         230         230           0          35          35
265         215         252         249           3          13          16
265         217         252         250           2          13          15
265         211         252         249           3          13          16
265         212         252         249           3          13          16
265         214         252         249           3          13          16

Battle Result: tie

For Earth army: 
Total number of each unit: 
ES: 21		ET: 51		EG :155		HU: 3
Percentage of destructed units relative to their total 
ES: 100%		 ET: 100%		 EG: 0%		 HU: 100%
Percentage of destructed units relative to total units: 32.6087%
Average of Df: 0.373333
Average of Dd: 94.1867
Average of Db: 94.56
Df/Db: 0.394811%
Dd/Db: 99.6052%
Healed units Percentage: 2.6087%
Infected units Percentage : 5.21739%
For Alien army: 
Total number of each unit: 
AS: 210		 AM: 33		 AD: 17
Percentage of destructed units relative to their total 
AS: 7.14286%		 AM: 100%		 AD: 100%
Percentage of destructed units relative to total units: 25%
Average of Df: 2.13846
Average of Dd: 43.9846
Average of Db: 46.1231
Df/Db: 4.63642%
Dd/Db: 95.3636%
