Td			ID			Ta			Tj			Df			Dd			Db

17        2002           7           7           0          10          10
17        2001           5           5           0          12          12
20        2004          14          12           2           6           8
22        2009          19          18           1           3           4
22        2005          14          12           2           8          10
24        2006          15          13           2           9          11
26        2003           8           7           1          18          19
27           3           5           2           3          22          25
29        2015          24          23           1           5           6
30        2012          23          22           1           7           8
33        2010          22          21           1          11          12
35        2017          29          27           2           6           8
37        2011          22          21           1          15          16
38        2016          28          27           1          10          11
39        2013          23          22           1          16          17
41        2018          32          31           1           9          10
41        2019          33          31           2           8          10
44           4           5           2           3          39          42
44        2023          40          39           1           4           5
45        2021          37          34           3           8          11
45        2022          40          39           1           5           6
48        2025          46          45           1           2           3
51        2024          46          45           1           5           6
52        2026          47          46           1           5           6
56        2028          53          53           0           3           3
59        2030          56          56           0           3           3
71        2032          66          66           0           5           5
71        2033          66          66           0           5           5
74        2035          68          68           0           6           6
75        2034          68          68           0           7           7
78        2037          76          76           0           2           2
79          29          75          75           0           4           4
80          31          76          76           0           4           4
81        2039          79          79           0           2           2
90        2043          86          86           0           4           4
92        2044          87          87           0           5           5
94        2040          85          85           0           9           9
95        2041          85          85           0          10          10
97        2047          93          91           2           4           6
97          41          91          91           0           6           6
99        2046          92          91           1           7           8
100        2045          88          87           1          12          13
102        2048          93          92           1           9          10
103        2049          94          92           2           9          11
103        2051          97          96           1           6           7
107        2054         104         102           2           3           5
108        2053         102         101           1           6           7
109        2055         104         102           2           5           7
110        2052         102         101           1           8           9
111        2056         105         104           1           6           7
114        2059         112         112           0           2           2
117          53         110         110           0           7           7
121        2063         119         119           0           2           2
124          11          35          34           1          89          90
126        2060         117         117           0           9           9
127        2061         117         117           0          10          10
127        2064         122         121           1           5           6
129        2065         122         121           1           7           8
131          63         131         131           0           0           0
133          62         129         129           0           4           4
138        2066         136         136           0           2           2
139        2068         137         137           0           2           2
140        2067         136         136           0           4           4
142        2069         137         137           0           5           5
145        2070         141         140           1           4           5
149        2073         145         144           1           4           5
150        2072         144         144           0           6           6
154        2074         146         145           1           8           9
154        2075         146         145           1           8           9
